,Bias,Bias/Theoretical SE,PRNG,Pop Mean,Pop size,Relative bias,Sample Mean,Sample size,Theoretical SE,seed
53,0.0142333333333,3.63577398913,MT,0.666666666667,30,0.02135,0.6809,10,0.00391480146343,100
54,0.00863333333333,2.7895153701,MT,0.166666666667,30,0.0518,0.1753,10,0.00309492230295,100
55,0.0131666666667,3.36330380727,MT,0.333333333333,30,0.0395,0.3465,10,0.00391480146343,100
56,0.0129333333333,3.30370095499,MT,0.666666666667,30,0.0194,0.6796,10,0.00391480146343,100
57,0.00863333333333,2.7895153701,MT,0.166666666667,30,0.0518,0.1753,10,0.00309492230295,100
58,0.0134666666667,3.43993604592,MT,0.333333333333,30,0.0404,0.3468,10,0.00391480146343,100
59,0.0142333333333,3.63577398913,MT,0.666666666667,30,0.02135,0.6809,10,0.00391480146343,100
60,0.0173846153846,2.60962321674,SHA256,0.384615384615,13,0.0452,0.402,4,0.00666173387526,100
61,0.0120192307692,2.08333333333,SHA256,0.769230769231,13,0.015625,0.78125,4,0.00576923076923,100
62,0.0166346153846,2.49703991425,SHA256,0.384615384615,13,0.04325,0.40125,4,0.00666173387526,100
63,0.0125192307692,2.17,SHA256,0.769230769231,13,0.016275,0.78175,4,0.00576923076923,100
64,0.0181346153846,2.72220651923,SHA256,0.384615384615,13,0.04715,0.40275,4,0.00666173387526,100
65,0.0105192307692,1.82333333333,SHA256,0.769230769231,13,0.013675,0.77975,4,0.00576923076923,100
66,0.00608461538462,2.50136162919,SHA256,0.384615384615,13,0.01582,0.3907,10,0.00243252127705,100
67,0.00486923076923,2.31138919267,SHA256,0.769230769231,13,0.00633,0.7741,10,0.00210662522117,100
68,0.00438461538462,1.8024982663,SHA256,0.384615384615,13,0.0114,0.389,10,0.00243252127705,100
69,0.00416923076923,1.97910417445,SHA256,0.769230769231,13,0.00542,0.7734,10,0.00210662522117,100
70,0.00678461538462,2.78912889627,SHA256,0.384615384615,13,0.01764,0.3914,10,0.00243252127705,100
71,0.00516923076923,2.45379705762,SHA256,0.769230769231,13,0.00672,0.7744,10,0.00210662522117,100
72,0.0203333333333,3.64432540977,SHA256,0.166666666667,30,0.122,0.187,4,0.00557945052843,100
73,0.0311666666667,4.41610035073,SHA256,0.333333333333,30,0.0935,0.3645,4,0.00705750870483,100
74,0.0285833333333,4.05005994732,SHA256,0.666666666667,30,0.042875,0.69525,4,0.00705750870483,100
75,0.0225833333333,4.04759092643,SHA256,0.166666666667,30,0.1355,0.18925,4,0.00557945052843,100
76,0.0349166666667,4.94744932341,SHA256,0.333333333333,30,0.10475,0.36825,4,0.00705750870483,100
77,0.0338333333333,4.79394850908,SHA256,0.666666666667,30,0.05075,0.7005,4,0.00705750870483,100
78,0.0218333333333,3.91316908754,SHA256,0.166666666667,30,0.131,0.1885,4,0.00557945052843,100
79,0.0301666666667,4.27440729135,SHA256,0.333333333333,30,0.0905,0.3635,4,0.00705750870483,100
80,0.0305833333333,4.33344606609,SHA256,0.666666666667,30,0.045875,0.69725,4,0.00705750870483,100
81,0.00913333333333,2.95107031431,SHA256,0.166666666667,30,0.0548,0.1758,10,0.00309492230295,100
82,0.0132666666667,3.38884788682,SHA256,0.333333333333,30,0.0398,0.3466,10,0.00391480146343,100
83,0.0151333333333,3.86567070507,SHA256,0.666666666667,30,0.0227,0.6818,10,0.00391480146343,100
84,0.0137333333333,4.43737580108,SHA256,0.166666666667,30,0.0824,0.1804,10,0.00309492230295,100
85,0.0168666666667,4.30843475058,SHA256,0.333333333333,30,0.0506,0.3502,10,0.00391480146343,100
86,0.0161333333333,4.12111150055,SHA256,0.666666666667,30,0.0242,0.6828,10,0.00391480146343,100
87,0.00993333333333,3.20955822505,SHA256,0.166666666667,30,0.0596,0.1766,10,0.00309492230295,100
88,0.0151666666667,3.87418539825,SHA256,0.333333333333,30,0.0455,0.3485,10,0.00391480146343,100
89,0.0147333333333,3.76349438687,SHA256,0.666666666667,30,0.0221,0.6814,10,0.00391480146343,100
