,Algorithm,Chi-squared,Df,Max Prob,Max Selection Prob Ratio,Mean Prob,Min Prob,Number of samples,P-value,PRNG,Pop size,Range,Range P-value,Sample size,reps,seed
139,sample_by_index,284.037324,285,0.00369,1.0991957104557641,0.0034965034965034965,0.003357,286.0,0.5049592802956064,MT,13,333,0.5352357196166493,10,1000000,429496729
140,Algorithm_R,304.2480248,285,0.0035746,1.0457550757708736,0.0034965034965034965,0.0034182,286.0,0.20710170251991478,MT,13,782,0.3357219400656126,10,5000000,429496729
141,FYKD,287.69914959999994,285,0.0035652,1.0403268164575432,0.0034965034965034965,0.003427,286.0,0.44409047329960943,MT,13,691,0.8194891883669269,10,5000000,429496729
142,PIKK,286.35369119999996,285,0.0035738,1.0431406888499708,0.0034965034965034965,0.003426,286.0,0.46631846799848287,MT,13,739,0.567299613436254,10,5000000,429496729
143,Random_Sample,297.7431264,285,0.0035768,1.0485459662288932,0.0034965034965034965,0.0034112,286.0,0.28985010361522107,MT,13,828,0.15933085248406464,10,5000000,429496729
144,sample_by_index,266.8272128,285,0.0035762,1.0429888007466168,0.0034965034965034965,0.0034288,286.0,0.7733434580466154,MT,13,737,0.5787432431431219,10,5000000,429496729
145,Algorithm_R,293.5960356,285,0.0035556,1.0320445837687218,0.0034965034965034965,0.0034452,286.0,0.3503596609343319,MT,13,1104,0.3422281941647146,10,10000000,429496729
146,FYKD,311.2906268,285,0.0035518,1.0310912416175573,0.0034965034965034965,0.0034447,286.0,0.13637209674649342,MT,13,1071,0.4637750682591546,10,10000000,429496729
147,PIKK,288.7822552,285,0.0035621,1.0373034362259754,0.003496503496503496,0.003434,286.0,0.4263700622352033,MT,13,1281,0.03184492776975023,10,10000000,429496729
148,Random_Sample,304.3036468,285,0.0035666,1.0344267525160242,0.0034965034965034965,0.0034479,286.0,0.20646480558627867,MT,13,1187,0.1292295128851747,10,10000000,429496729
149,sample_by_index,267.7753836,285,0.0035392,1.0300649029366395,0.0034965034965034965,0.0034359,286.0,0.7606694275781329,MT,13,1033,0.6161590983415683,10,10000000,429496729
150,Algorithm_R,24159.02928,26665,0.00013,12.999999999999998,3.75009375234381e-05,1e-05,27405.0,1.0,MT,30,12,1.0,4,100000,100
151,FYKD,24530.608699999997,26716,0.00013,12.999999999999998,3.742935209791519e-05,1e-05,27405.0,1.0,MT,30,12,1.0,4,100000,100
152,PIKK,24054.595,26709,0.00013,12.999999999999998,3.7439161362785484e-05,1e-05,27405.0,1.0,MT,30,12,1.0,4,100000,100
153,Random_Sample,24517.69224,26667,0.00017,17.0,3.749812509374532e-05,1e-05,27405.0,1.0,MT,30,16,0.28968213491320816,4,100000,100
154,sample_by_index,24130.23224,26690,0.00013,12.999999999999998,3.74658124461429e-05,1e-05,27405.0,1.0,MT,30,12,1.0,4,100000,100
155,Algorithm_R,27484.09546,27404,7.6e-05,9.500000000000002,3.6489691662105454e-05,8e-06,27405.0,0.36518248192645947,MT,30,34,0.688295435471493,4,500000,100
156,FYKD,27527.833840000003,27404,7.4e-05,7.399999999999999,3.6489691662105454e-05,1e-05,27405.0,0.29770756396084325,MT,30,32,0.9999819844732865,4,500000,100
157,PIKK,27677.68438,27404,7.4e-05,7.399999999999999,3.6489691662105454e-05,1e-05,27405.0,0.12140086553494021,MT,30,32,0.9999819844732865,4,500000,100
158,Random_Sample,27515.446780000002,27404,7.6e-05,19.000000000000004,3.6489691662105454e-05,4e-06,27405.0,0.31623784823483103,MT,30,36,0.25127197494842646,4,500000,100
159,sample_by_index,27739.071580000003,27404,8.6e-05,8.6,3.6489691662105454e-05,1e-05,27405.0,0.07660232430205688,MT,30,38,0.0544928552126851,4,500000,100
160,Algorithm_R,27790.48799,27404,6.6e-05,5.5,3.6489691662105454e-05,1.2e-05,27405.0,0.049879720186962885,MT,30,54,0.04646359996543403,4,1000000,100
161,FYKD,27453.73535,27404,6.4e-05,5.333333333333333,3.6489691662105454e-05,1.2e-05,27405.0,0.4148204225141625,MT,30,52,0.14665334231730998,4,1000000,100
162,PIKK,27544.391090000005,27404,6.7e-05,4.466666666666667,3.6489691662105454e-05,1.5e-05,27405.0,0.2737526124721575,MT,30,52,0.14665334231730998,4,1000000,100
