0,3332485,30,2,100
1,3333387,30,2,100
2,3335029,30,2,100
3,3331487,30,2,100
4,3332140,30,2,100
5,3334219,30,2,100
6,3332928,30,2,100
7,3333560,30,2,100
8,3333484,30,2,100
9,3333429,30,2,100
10,3334152,30,2,100
11,3332561,30,2,100
12,3333548,30,2,100
13,3335031,30,2,100
14,3332206,30,2,100
15,3331618,30,2,100
16,3334354,30,2,100
17,3331695,30,2,100
18,3333136,30,2,100
19,3332079,30,2,100
20,3333671,30,2,100
21,3334264,30,2,100
22,3331639,30,2,100
23,3333474,30,2,100
24,3335463,30,2,100
25,3332152,30,2,100
26,3332918,30,2,100
27,3333442,30,2,100
28,3335198,30,2,100
29,3335251,30,2,100
